EIN,Name,State,NTEE_Code,Composite_Score,Revenue,Assets,Most_Recent_Filing_Year,Score_Rank,Financial_Score,Recency_Score,Consistency_Score,Program_Ratio_Score,NTEE_Score,State_Score,PF_Score,Rank
134014982,Grantmakers In Aging Inc,VA,P81,0.35,0,0,,1,0,0,0,0,1,1,1,1
396095459,Advancing States Inc,VA,P81C,0.35,0,0,,2,0,0,0,0,1,1,1,2
475254378,Rapp At Home,VA,P81,0.35,0,0,,3,0,0,0,0,1,1,1,3
510151069,Peninsula Agency On Aging Inc,VA,P81Z,0.35,0,0,,4,0,0,0,0,1,1,1,4
510189604,Central Virginia Alliance For Community Living Inc,VA,P81Z,0.35,0,0,,5,0,0,0,0,1,1,1,5
201397614,Faithwalk International,VA,W70,0.2,0,0,,6,0,0,0,0,0,1,1,6
208649170,Leadership Prince William,VA,W70,0.2,0,0,,7,0,0,0,0,0,1,1,7
222414510,Association Of Social Work Boards,VA,W70,0.2,0,0,,8,0,0,0,0,0,1,1,8


